Descricao Area de Referencia,Regiao SDG,Periodo de Tempo,Genero,Idade,Valor Observado,Descricao Unidade de Medida,Ano da Fonte,Ano Mais Recente
Mongolia,Eastern and South-Eastern Asia,2015,Female,12 to 14 years old,2.625,Hours per day,2022,1.0
Mongolia,Eastern and South-Eastern Asia,2015,Male,12 to 14 years old,1.2735,Hours per day,2022,1.0
Chile,Latin America and the Caribbean,2015,Female,12 to 24 years old,3.372928999999999,Hours per day,2022,1.0
Chile,Latin America and the Caribbean,2015,Male,12 to 24 years old,1.729657,Hours per day,2022,1.0
Austria,Europe and Northern America,2009,Female,10 years old and over,4.398876815131796,Hours per day,2022,1.0
Cameroon,Sub-Saharan Africa,2014,Female,10 years old and over,3.492162926132008,Hours per day,2022,1.0
Colombia,Latin America and the Caribbean,2017,Female,10 years old and over,3.844213888888889,Hours per day,2022,1.0
Colombia,Latin America and the Caribbean,2013,Female,10 years old and over,0.6350416666666667,Hours per day,2022,Sem Informação
Finland,Europe and Northern America,2000,Female,10 years old and over,3.611,Hours per day,2022,Sem Informação
Finland,Europe and Northern America,2010,Female,10 years old and over,3.486999999999999,Hours per day,2022,1.0
State of Palestine,Northern Africa and Western Asia,2000,Female,10 years old and over,4.85,Hours per day,2022,Sem Informação
State of Palestine,Northern Africa and Western Asia,2013,Female,10 years old and over,4.266666666666667,Hours per day,2022,1.0
Germany,Europe and Northern America,2002,Female,10 years old and over,4.242000000000001,Hours per day,2022,Sem Informação
Germany,Europe and Northern America,2013,Female,10 years old and over,3.81,Hours per day,2022,1.0
Greece,Europe and Northern America,2014,Female,10 years old and over,4.2,Hours per day,2022,1.0
Hungary,Europe and Northern America,2010,Female,10 years old and over,3.977959341694057,Hours per day,2022,1.0
Japan,Eastern and South-Eastern Asia,2001,Female,10 years old and over,3.566666666666667,Hours per day,2022,Sem Informação
Japan,Eastern and South-Eastern Asia,2006,Female,10 years old and over,3.583333333333334,Hours per day,2022,Sem Informação
Japan,Eastern and South-Eastern Asia,2011,Female,10 years old and over,3.583333333333334,Hours per day,2022,Sem Informação
Japan,Eastern and South-Eastern Asia,2016,Female,10 years old and over,3.466666666666667,Hours per day,2022,Sem Informação
Japan,Eastern and South-Eastern Asia,2021,Female,10 years old and over,3.4,Hours per day,2022,1.0
