indicator_label,indicator_id,indicator_desc,minset_series,minset_series_desc,ref_area,ref_area_desc,iso3,x,y,sdg_region,time_period,time_detail,sex,sex_desc,age,age_desc,urbanization,urbanization_desc,obs_value,unit_measure,unit_measure_desc,nature,nature_desc,reporting_type,reporting_type_desc,comment_obs,source_detail,source_year,dimensions,is_latest_year
I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",496,Mongolia,MNG,103.0728057,46.83892054,Eastern and South-Eastern Asia,2015,2015,F,Female,Y12T14,12 to 14 years old,_T,All areas,2.625,HR_PER_DAY,Hours per day,C,Country Data,G,Global,Results provided for this questionnaire are produced based on the survey respondents and not weighted.,National Statistical Office based on Time use survey 2015,2022,"sex, age, urbanization",1
I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",496,Mongolia,MNG,103.0728057,46.83892054,Eastern and South-Eastern Asia,2015,2015,M,Male,Y12T14,12 to 14 years old,_T,All areas,1.2735,HR_PER_DAY,Hours per day,C,Country Data,G,Global,Results provided for this questionnaire are produced based on the survey respondents and not weighted.,National Statistical Office based on Time use survey 2015,2022,"sex, age, urbanization",1
I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",152,Chile,CHL,-71.23029019,-35.2652885,Latin America and the Caribbean,2015,2015,F,Female,Y12T24,12 to 24 years old,_T,All areas,3.372928999999999,HR_PER_DAY,Hours per day,C,Country Data,G,Global,,Instituto Nacional de Estadísticas Chile based on Time Use Survey 2015,2022,"sex, age, urbanization",1
I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",152,Chile,CHL,-71.23029019,-35.2652885,Latin America and the Caribbean,2015,2015,M,Male,Y12T24,12 to 24 years old,_T,All areas,1.729657,HR_PER_DAY,Hours per day,C,Country Data,G,Global,,Instituto Nacional de Estadísticas Chile based on Time Use Survey 2015,2022,"sex, age, urbanization",1
I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",40,Austria,AUT,14.14172472,47.58704857,Europe and Northern America,2009,2008-2009,F,Female,Y_GE10,10 years old and over,_T,All areas,4.398876815131796,HR_PER_DAY,Hours per day,C,Country Data,G,Global,,Statistics Austria based on Time Use Survey 2008/09,2022,"sex, age, urbanization",1
I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",120,Cameroon,CMR,12.7419827,5.692387031,Sub-Saharan Africa,2014,2014,F,Female,Y_GE10,10 years old and over,_T,All areas,3.492162926132008,HR_PER_DAY,Hours per day,C,Country Data,G,Global,,"INS, Cameroun based on Fourth Cameroon Household Survey ECAM 4",2022,"sex, age, urbanization",1
I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",170,Colombia,COL,-73.07446751,3.888209046,Latin America and the Caribbean,2017,2016-2017,F,Female,Y_GE10,10 years old and over,_T,All areas,3.844213888888889,HR_PER_DAY,Hours per day,C,Country Data,G,Global,"Include ""Time spent on transfers related to unpaid domestic and care work activities""",DANE based on National Time Use Survey,2022,"sex, age, urbanization",1
I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",170,Colombia,COL,-73.07446751,3.888209046,Latin America and the Caribbean,2013,2012-2013,F,Female,Y_GE10,10 years old and over,_T,All areas,0.6350416666666667,HR_PER_DAY,Hours per day,C,Country Data,G,Global,"Include ""Time spent on transfers related to unpaid domestic and care work activities""",DANE based on National Time Use Survey,2022,"sex, age, urbanization",
I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",246,Finland,FIN,23.308447,61.91586738,Europe and Northern America,2000,1999-2000,F,Female,Y_GE10,10 years old and over,_T,All areas,3.611,HR_PER_DAY,Hours per day,C,Country Data,G,Global,Unpaid domestic work might include small amount of time spent on production of goods for own final use.,Statistics Finland  based on Time Use Survey,2022,"sex, age, urbanization",
I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",246,Finland,FIN,23.308447,61.91586738,Europe and Northern America,2010,2009-2010,F,Female,Y_GE10,10 years old and over,_T,All areas,3.486999999999999,HR_PER_DAY,Hours per day,C,Country Data,G,Global,Unpaid domestic work might include small amount of time spent on production of goods for own final use.,Statistics Finland  based on Time Use Survey,2022,"sex, age, urbanization",1
I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",275,State of Palestine,PSE,35.25694122,31.94347933,Northern Africa and Western Asia,2000,1999-2000,F,Female,Y_GE10,10 years old and over,_T,All areas,4.85,HR_PER_DAY,Hours per day,C,Country Data,G,Global,,Palestinian Central Bureau of Statistics (PCBS) based on Time Use Survey 1999-2000,2022,"sex, age, urbanization",
I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",275,State of Palestine,PSE,35.25694122,31.94347933,Northern Africa and Western Asia,2013,2012-2013,F,Female,Y_GE10,10 years old and over,_T,All areas,4.266666666666667,HR_PER_DAY,Hours per day,C,Country Data,G,Global,,Palestinian Central Bureau of Statistics (PCBS) based on Time Use Survey 2012/2013,2022,"sex, age, urbanization",1
I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",276,Germany,DEU,10.3806066,51.08862743,Europe and Northern America,2002,2001-2002,F,Female,Y_GE10,10 years old and over,_T,All areas,4.242000000000001,HR_PER_DAY,Hours per day,C,Country Data,G,Global,"Unpaid domestic work includes ""Other activities in the fields of housekeeping and family care"" and ""travel related to other activities in regard to housekeeping and care of family members"" which are overlapping categories and (might) include a certain amount of time belonging to both categories (unpaid domestic work and unpaid care work as well).",Federal Statistical Office  based on Time Use Survey in Germany,2022,"sex, age, urbanization",
I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",276,Germany,DEU,10.3806066,51.08862743,Europe and Northern America,2013,2012-2013,F,Female,Y_GE10,10 years old and over,_T,All areas,3.81,HR_PER_DAY,Hours per day,C,Country Data,G,Global,"Unpaid domestic work includes ""Other activities in the fields of housekeeping and family care"" and ""travel related to other activities in regard to housekeeping and care of family members"" which are overlapping categories and (might) include a certain amount of time belonging to both categories (unpaid domestic work and unpaid care work as well).",Federal Statistical Office  based on Time Use Survey in Germany,2022,"sex, age, urbanization",1
I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",300,Greece,GRC,22.58307827,39.47301873,Europe and Northern America,2014,2013-2014,F,Female,Y_GE10,10 years old and over,_T,All areas,4.2,HR_PER_DAY,Hours per day,C,Country Data,G,Global,Unpaid domestic work might include small amount of time spent on production of goods for own final use.,Hellenic Statistical Authority (ELSTAT) based on Time use survey,2022,"sex, age, urbanization",1
I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",348,Hungary,HUN,19.41221519,47.1651448,Europe and Northern America,2010,2009-2010,F,Female,Y_GE10,10 years old and over,_T,All areas,3.977959341694057,HR_PER_DAY,Hours per day,C,Country Data,G,Global,Unpaid domestic work might include small amount of time spent on production of goods for own final use.,Hungarian Central Statistical Office based on Time use survey,2022,"sex, age, urbanization",1
I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",392,Japan,JPN,139.2716103,36.6554539,Eastern and South-Eastern Asia,2001,2001,F,Female,Y_GE10,10 years old and over,_T,All areas,3.566666666666667,HR_PER_DAY,Hours per day,C,Country Data,G,Global,,Ministry of Internal Affairs and Communications (MIC) based on Survey on Time Use and Leisure Activities,2022,"sex, age, urbanization",
I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",392,Japan,JPN,139.2716103,36.6554539,Eastern and South-Eastern Asia,2006,2006,F,Female,Y_GE10,10 years old and over,_T,All areas,3.583333333333334,HR_PER_DAY,Hours per day,C,Country Data,G,Global,,Ministry of Internal Affairs and Communications (MIC) based on Survey on Time Use and Leisure Activities,2022,"sex, age, urbanization",
I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",392,Japan,JPN,139.2716103,36.6554539,Eastern and South-Eastern Asia,2011,2011,F,Female,Y_GE10,10 years old and over,_T,All areas,3.583333333333334,HR_PER_DAY,Hours per day,C,Country Data,G,Global,,Ministry of Internal Affairs and Communications (MIC) based on 2011 Survey on Time Use and Leisure Activities,2022,"sex, age, urbanization",
I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",392,Japan,JPN,139.2716103,36.6554539,Eastern and South-Eastern Asia,2016,2016,F,Female,Y_GE10,10 years old and over,_T,All areas,3.466666666666667,HR_PER_DAY,Hours per day,C,Country Data,G,Global,,Ministry of Internal Affairs and Communications (MIC) based on 2016 Survey on Time Use and Leisure Activities,2022,"sex, age, urbanization",
I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",392,Japan,JPN,139.2716103,36.6554539,Eastern and South-Eastern Asia,2021,2021,F,Female,Y_GE10,10 years old and over,_T,All areas,3.4,HR_PER_DAY,Hours per day,C,Country Data,G,Global,,2021 Survey on Time Use and Leisure Activities,2022,"sex, age, urbanization",1
I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",398,Kazakhstan,KAZ,66.65359159,48.01963494,Central and Southern Asia,2018,2018,F,Female,Y_GE10,10 years old and over,_T,All areas,4.3,HR_PER_DAY,Hours per day,C,Country Data,G,Global,,The Agency of the Republic of Kazakhstan on Statistics based on The time use budget of population,2022,"sex, age, urbanization",1
I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",410,Republic of Korea,KOR,127.8610254,36.45201023,Eastern and South-Eastern Asia,2004,2004,F,Female,Y_GE10,10 years old and over,_T,All areas,3.500333333333334,HR_PER_DAY,Hours per day,C,Country Data,G,Global,Unpaid domestic work might include small amount of time spent on production of goods for own final use.,Statistics Korea based on Time Use Survey,2022,"sex, age, urbanization",
I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",410,Republic of Korea,KOR,127.8610254,36.45201023,Eastern and South-Eastern Asia,2009,2009,F,Female,Y_GE10,10 years old and over,_T,All areas,3.449666666666666,HR_PER_DAY,Hours per day,C,Country Data,G,Global,Unpaid domestic work might include small amount of time spent on production of goods for own final use.,Statistics Korea based on Time Use Survey,2022,"sex, age, urbanization",
I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",410,Republic of Korea,KOR,127.8610254,36.45201023,Eastern and South-Eastern Asia,2014,2014,F,Female,Y_GE10,10 years old and over,_T,All areas,3.35,HR_PER_DAY,Hours per day,C,Country Data,G,Global,Unpaid domestic work might include small amount of time spent on production of goods for own final use.,Statistics Korea based on Time Use Survey,2022,"sex, age, urbanization",
I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",410,Republic of Korea,KOR,127.8610254,36.45201023,Eastern and South-Eastern Asia,2019,2019,F,Female,Y_GE10,10 years old and over,_T,All areas,2.966666666666666,HR_PER_DAY,Hours per day,C,Country Data,G,Global,,2019 Time use survey,2022,"sex, age, urbanization",1
I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",440,Lithuania,LTU,23.90517807,55.33680309,Europe and Northern America,2003,2003,F,Female,Y_GE10,10 years old and over,_T,All areas,4.017,HR_PER_DAY,Hours per day,C,Country Data,G,Global,Travel related to unpaid domestic and care work is not included.,Statistics Lithuania based on Time Use Survey,2022,"sex, age, urbanization",1
I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",498,Republic of Moldova,MDA,28.4650624,47.20236795,Europe and Northern America,2012,2011-2012,F,Female,Y_GE10,10 years old and over,_T,All areas,4.670100000000001,HR_PER_DAY,Hours per day,C,Country Data,G,Global,Unpaid domestic work might include small amount of time spent on production of goods for own final use. Travel related to unpaid domestic and care work is not included.,"National Bureau of Statistics, Republic of Moldova based on Time use survey",2022,"sex, age, urbanization",1
I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",586,Pakistan,PAK,68.80479684,29.36491634,Central and Southern Asia,2007,2007,F,Female,Y_GE10,10 years old and over,_T,All areas,4.766666666666667,HR_PER_DAY,Hours per day,C,Country Data,G,Global,Collecting water and fuel included under unpaid work,Pakistan Bureau of Statistics based on Time Use Survey,2022,"sex, age, urbanization",1
I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",616,Poland,POL,19.40660158,52.1226733,Europe and Northern America,2013,2013,F,Female,Y_GE10,10 years old and over,_T,All areas,4.233000000000001,HR_PER_DAY,Hours per day,C,Country Data,G,Global,Travel related to unpaid domestic and care work is not included.,Statistics Poland based on Time Use Survey ,2022,"sex, age, urbanization",1
I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",642,Romania,ROU,24.98481009,45.83893563,Europe and Northern America,2000,2000,F,Female,Y_GE10,10 years old and over,_T,All areas,5.000000000000001,HR_PER_DAY,Hours per day,C,Country Data,G,Global,,INSSE based on National Time Use Study,2022,"sex, age, urbanization",
I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",642,Romania,ROU,24.98481009,45.83893563,Europe and Northern America,2012,2011-2012,F,Female,Y_GE10,10 years old and over,_T,All areas,4.566666666666666,HR_PER_DAY,Hours per day,C,Country Data,G,Global,,INSSE based on Time Use of the Romanians - 2012,2022,"sex, age, urbanization",1
I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",40,Austria,AUT,14.14172472,47.58704857,Europe and Northern America,2009,2008-2009,M,Male,Y_GE10,10 years old and over,_T,All areas,2.295896884211747,HR_PER_DAY,Hours per day,C,Country Data,G,Global,,Statistics Austria based on Time Use Survey 2008/09,2022,"sex, age, urbanization",1
